"","Category","dbID","siteID","SiteName","SubTitle","Lat","Lon","Desc","Sview","Sviewlat","Sviewlong","Heading","Zoom","Pitch","top","mapzoom","sponsor","Categ","ImageN","Image1","Image2","Image3","Image4"
"40","Earth History","40","C40","Grenville Turbidites","","44.5115",-77.704,"These formations are unusual because most Grenville-age sediments have been so highly deformed by <a href=""/def/metamorphism"">Metamorphism</a> that they are no longer recognizable. <a href=""/def/turbidites"">Turbidites</a> form thin beds (up to 50 centimetres thick). They are mostly made of <a href=""/def/sandstone"">Sandstone</a> but often show ""normal grading"" where the <a href=""/def/sandstone"">Sandstone</a> ""fines"" up into <a href=""/def/siltstone"">Siltstone</a>. ","n",NA,NA,NA,NA,NA,"n",14,"a",1,NA,"sitePictures/c40a.png","sitePictures/c40b.png","sitePictures/c40c.png","sitePictures/c40d.png"
"41","Earth History","41","C41","Norwood Esker","Tunnel Vision","44.393",-77.97433333,"The Norwood <a href=""/def/esker"">Esker</a> is the largest <a href=""/def/esker"">Esker</a> in southern Ontario at 30 kilometres. <a href=""/def/eskers"">Eskers</a> are interesting ""glaciofluvial"" landforms that were left by fast flowing rivers that flowed within large tunnels below <a href=""/def/ice_sheets"">Ice sheets</a>, generated by the water from the melting glacier. Once the glacier has retreated the <a href=""/def/esker"">Esker</a> remains, essentially a meandering ridge of sediment, due to<a href=""/def/_sediment ""> Sediment </a>clogging these tunnels. This makes <a href=""/def/eskers"">Eskers</a> a great source of <a href=""/def/aggregates"">Aggregates</a> and many are mined for that purpose, driving through the town of Norwood you will see many<a href=""/def/_sand ""> Sand </a>and <a href=""/def/gravel"">Gravel</a> pits.  ","n",NA,NA,NA,NA,NA,"n",14,"",1,NA,"sitePictures/c41a.png","sitePictures/c41b.png","sitePictures/c41c.png","sitePictures/c41d.png"
"42","Earth History","42","C42","Serpent Mounds","Peterborough Drumlin Field","44.20683333",-78.15516667,"<a href=""/def/ice_sheets"">Ice sheets</a> have had a profound effect on the landscape of southern Ontario. One of the most common glacial landforms, the <a href=""/def/drumlin"">Drumlin</a>, is the name given to long hills that have a distinct streamlined shape. They resemble upturned row boats; their steep bow faces up glacier. The Peterborough <a href=""/def/drumlin"">Drumlin</a> field is one of the best known in North America and contains more than 2000 individual <a href=""/def/drumlins"">Drumlins</a>. Serpent Mounts Park has several large native<a href=""/def/_burial ""> Burial </a>mounds that overlook Rice Lake and several island project up the lake.","n",NA,NA,NA,NA,NA,"n",16,"",1,2,"sitePictures/c42a.png","sitePictures/c42b.png","sitePictures/c42c.png","sitePictures/c42d.png"
"43","Historic","43","C43","Peterborough Lift Lock","","44.307937",-78.301325,"It is the highest hydraulic boat lift in world at 20 metres. It was finished in 1904 and is now a national historic site of Canada. It is an impressive site seeing boats lifted up simply by the weight of a descending water filled tank called caisson weighing 1700 tons.","y",NA,NA,102.6,0,-6.45,"n",16,"",3,1,"sitePictures/c43a.png","sitePictures/c43b.png","sitePictures/c43c.png","sitePictures/c43d.png"
"44","Earth History","44","C44","Teetering Rock at Buckhorn","An Earthquake-Free Zone","44.554297",-78.34372,"While driving north approaching the Highway 23 bridge in Buckhorn in the beautiful Kawartha Lakes, one's eyes can't help but be drawn to an immense block of pink rock by the side of the road. Stop and you'll see much of the rock overhangs its base giving the appearance of almost falling over; this is the famous 'Teetering Rock.'","y",NA,NA,192.15,1,0.51,"y",16,"",1,1,"sitePictures/c44a.png","sitePictures/c44b.png","sitePictures/c44c.png","sitePictures/c44d.png"
"45","Rocks and Minerals","45","C45","Adam and Eve Glacial Erratics","","44.550907",-78.35476,"Ever wondered where those large boulders come from that are scattered through our farmlands and communities, and often used for landscaping? They are glacial <a href=""/def/erratics"">Erratics</a> (what used to be called 'rolling boulders', see Sites <a href=""/C32"">C32</a>, <a href=""/S105"">S105</a>, <a href=""/S115"">S115</a>) bulldozed down from northern Ontario by <a href=""/def/ice_sheets"">Ice sheets</a> that scraped the surface of the Canadian <a href=""/def/shield"">Shield</a>. In that way, rocks of northern Ontario are scattered across the <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> of southern Ontario. The name '<a href=""/def/erratic"">Erratic</a>' comes from the Latin errare meaning to wander. There are so many that we take them for granted, yet they brought here by the last great <a href=""/def/ice_sheet"">Ice sheet</a> 20,000 years ago.  The two impressive <a href=""/def/erratics"">Erratics</a> have been a nickname Adam and Eve.","n",NA,NA,NA,NA,NA,"y",16,"",5,1,"sitePictures/c45a.png","sitePictures/c45b.png","sitePictures/c45c.png","sitePictures/c45d.png"
"46","Rocks and Minerals","46","C46","Warsaw Caves","","44.462012",-78.1322,"At the end of the last <a href=""/def/ice_age"">Ice age</a> Lake Algonquin's water flowed eastward towards the Ontario basin. Along the way, at Warsaw, the flowing water eroded the Simcoe <a href=""/def/group"">Group</a><a href=""/def/limestone"">Limestone</a> creating a canyon. Caves formed as a result of the tilting of large blocks of <a href=""/def/limestone"">Limestone</a> along the steep canyon walls. The area has an impressive <a href=""/def/limestone"">Limestone</a> <a href=""/def/pavement"">Pavement</a> and large potholes cut by glacial melt-waters by the end of the <a href=""/def/ice_age"">Ice age</a>. See also sites <a href=""/N58"">N58</a> and <a href=""/W12"">W12</a>.","n",NA,NA,NA,NA,NA,"y",14,"",5,2,"sitePictures/c46a.png","sitePictures/c46b.png","sitePictures/c46c.png","sitePictures/c46d.png"
"47","Historic","47","C47","Petroglyphs","Written in Stone","44.619975",-78.0465,"Hundreds of petroglyphs, which are literally ""rock"" (petro) ""engravings"" (glyphs), made by First Nations people can be seen at Petroglyphs Provincial Park, 35 kilometres north of Peterborough, the most that can be found in Canada. These 1000 year old depictions of people, animals and shamans were carved into the white <a href=""/def/marble"">Marble</a> of the Central <a href=""/def/metasediment"">Metasediment</a>ary Belt. The first engravings discovered in 1920 are now under protection in a building under the care of Curve Lake Nation. Petroglyphs Provincial Park 2249 Northey's Bay Road Woodview, Ontario K0L 3E0","n",NA,NA,NA,NA,NA,"y",16,"",3,1,"sitePictures/c47a.png","sitePictures/c47b.png","sitePictures/c47c.png","sitePictures/c47d.png"
"48","Earth History","48","C48","Dummer Moraine","A Thick Glacial Deposit","44.36",-77.01216667,"‘Dummer Moraine’ refers to a broad belt of thick (up to 10 m) hummocky topography composed of freshly-broken limestone rubble immediately downglacier of the Shield/Paleozoic boundary (sites <a href=""/E66"">E66</a>, <a href=""/E67"">E67</a>). It blankets large areas of limestone plain and escarpment faces and extends southwards to cover drift drumlins. Historically, it has been viewed as a late-glacial still-stand or re-advance frontal moraine ridge but sedimentological work suggests it is largely the result of intense quarrying of escarpment faces, very limited subglacial and englacial transport and passive melt-out. It reflects intense lateral and frontal plucking of drumlinized interfluves along Paleozoic escarpments and has been partially and fully reworked by subglacial meltwaters often being present in esker cores that occupy through valleys between drumlinized interfluves. Quarrying of escarpments has been the primary source of the carbonate debris that dominates tills and other glacial sediments in Southern Ontario. 

The large tract of Dummer Moraine was a major obstacle to mid-nineteenth European settlers faced with the prospect of ‘farming rocks’ on the limestone plains south of the Shield (popularly known as ‘the land in between’). It is a strangely attractive landscape of bare limestone plain, hummocks of bouldery rubble with large slabs of limestone, farms that have gone back to bush, lakes and forest with the odd small patch of glacial sediment that can be grazed. It but it comes alive in the fall when dark rock is exposed by thinning foliage and juxtaposed against red maples; a classic Ontario glacial landscape now recognized as part of the ‘hard bed’ of an ice stream.

The widely acclaimed ‘Voice of the Land’ was A. Purdy (1918-2000) who was born in Wooler just north of Trenton. Purdy wrote his most famous poem ’The Country North of Belleville’ in which he contrasted the ‘fat south’ of rich farms and deep soils with the ‘country of our defeat’ and the many hills that ‘picknicking glaciers have left strewn with centuries' rubble.’ ","n",NA,NA,NA,NA,NA,"n",14,"",1,NA,"sitePictures/c48a.png","sitePictures/c48b.png","sitePictures/c48c.png","sitePictures/c48d.png"
"49","Rocks and Minerals","49","C49","Bear Lake Diggings","","44.960425",-78.33042,"This area near Tory Hill is a commercial collecting site where green apatite (calcium phosphate) and jet black biotite mica can be found, the latter occurring as page-like layers in what are called ""books"". Apatite was mined for fertilizer in the late 1800's. But be careful because this site was named for a reason: there are bears.","n",NA,NA,NA,NA,NA,"n",16,"a",5,NA,"sitePictures/c49a.png","sitePictures/c49b.png","sitePictures/c49c.png","sitePictures/c49d.png"
"50","Rocks and Minerals","50","C50","Marble Lake","","45.032",-77.81971667,"Take Highway 68, some 7 kilometres south of Bancroft, and you'll pass <a href=""/def/marble"">Marble</a> Lake which marks a belt of <a href=""/def/marble"">Marble</a> that was once extensively quarried. If you wander around Queen's Park in Toronto take a look at the rock floors in the Whitney and MacDonald Blocks which are fine examples of <a href=""/def/marble"">Marble</a> that was quarried at Bancroft.","y",NA,NA,40.14,0,3.85,"n",13,"a",5,1,"sitePictures/c50a.png","sitePictures/c50b.png","sitePictures/c50c.png","sitePictures/c50d.png"
"51","Rocks and Minerals","51","C51","Bancroft Chamber of Commerce","","45.06333333",-77.85638333,"Start your exploration of the Bancroft area by visiting the Bancroft Chamber of Commerce which will have books, information and even geologist-guided tours. Check out the town stores that sell rocks and minerals. And don't miss the famous Gemboree held every year on the Civic Holiday weekend in early August.    ","n",NA,NA,NA,NA,NA,"y",14,"a",5,1,"sitePictures/c51a.png","sitePictures/c51b.png","sitePictures/c51c.png","sitePictures/c51d.png"
"52","Rocks and Minerals","52","C52","The Princess Sodalite Mine","","45.071702",-77.80895,"The quarry initially opened in 1906 after the Princess of Wales requested that her residence be decorated with 130 tons of Bancroft blue sodalite. The Princess Sodalite Mine and Quarry Rock Shop and has a collecting area where you can collect your own rocks and minerals. It is located at 31241 Highway 28 East, Bancroft, K0L 1C0.","y",NA,NA,346.63,0,-4.64,"n",14,"a",5,1,"sitePictures/c52a.png","sitePictures/c52b.png","sitePictures/c52c.png","sitePictures/c52d.png"
"53","Rocks and Minerals","53","C53","Nepheline Syenite at Blue Mountain","Homage to Beer","44.67416667",-77.942,"The Canadian <a href=""/def/shield"">Shield</a> in central Ontario is rich in <a href=""/def/nepheline_syenite"">Nepheline Syenite</a> rocks, ideal for making glass and ceramics but in short supply globally. One of the largest and purest deposits anywhere in the world occurs just north of Highway 7 near Marmora and has been mined since 1935. Those ceramic tiles in the kitchen and bathroom, and that wine or beer bottle, have probably been made from Ontario's world famous deposit that lies within a narrow belt of rock that extends some 10 kilometres northeast from Nephton to Blue Mountain, where it forms a prominent high-standing hill, and which plunges steeply down underground. It was intruded about 1000 million years ago and folded during the Grenville <a href=""/def/orogeny"">Orogeny</a>. The rock is composed of as much as 60% of the feldspar<a href=""/def/_mineral ""> Mineral </a>'albite' producing a very white ceramic product when melted at about 1200C. Nephton (named after the rock) is now a ghost town but the mine still produces about 700,000 tons a year. The syenites at Nephton and Blue Mountain extend as a narrow belt through Bancroft to the northeast (See Site <a href=""/C52"">C52</a>) into Quebec. <a href=""/def/marble"">Marble</a> is a very common rock in the area (Site <a href=""/C47"">C47</a>) and altered <a href=""/def/marble"">Marble</a> was mined for talc at Madoc (<a href=""/C63"">C63</a>).","n",NA,NA,NA,NA,NA,"n",13,"",5,NA,"sitePictures/c53a.png","sitePictures/c53b.png","sitePictures/c53c.png","sitePictures/c53d.png"
"54","Rocks and Minerals","54","C54","Egan Chutes","","45.066807",-77.73973,"After a hard day collecting and identifying minerals, take a walk by the scenic chutes named after John Egan. In the 1850's he built several timber chutes along the York River for driving lumber downstream from Baptiste Lake. <a href=""/def/outcrops"">Outcrops</a> showing the minerals corundum, zircon, and sodalite can all be found locally.  ","n",NA,NA,NA,NA,NA,"n",14,"a",5,1,"sitePictures/c54a.png","sitePictures/c54b.png","sitePictures/c54c.png","sitePictures/c54d.png"
"55","Rocks and Minerals","55","C55","The Beryl Pit","","45.314351",-77.3782,"This is another popular spot with an active open pit and a mine dump where beryl, magnetite, mica, amazonite, tourmaline, garnet, zircon, fluorite, and a wide variety of feldspars can be readily collected. ","n",NA,NA,NA,NA,NA,"n",16,"a",5,1,"sitePictures/c55a.png","sitePictures/c55b.png","sitePictures/c55c.png","sitePictures/c55d.png"
